ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
54929,David Jirka,M,22,190,90,Czech Republic,CZE,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Quadruple Sculls,Silver
54929,David Jirka,M,26,190,90,Czech Republic,CZE,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,NA
54936,Miroslav Jka,M,26,181,84,Czechoslovakia,TCH,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,NA
55019,John Louis Joachim,M,30,NA,NA,Western Rowing Club-3,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxless Pairs,Bronze
55042,Rolf Jobst,M,21,190,83,East Germany,GDR,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Fours,Silver
55066,Henrique Gustavo Johann,M,23,184,87,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Fours,NA
55069,Eric Johannesen,M,24,193,100,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
55069,Eric Johannesen,M,28,193,100,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
55123,Kjell Sverre Johansen,M,28,188,84,Norway,NOR,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxless Fours,NA
55123,Kjell Sverre Johansen,M,32,188,84,Norway,NOR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Fours,NA
55132,Solfrid Johansen,F,20,177,74,Norway,NOR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Double Sculls,NA
55132,Solfrid Johansen,F,28,177,74,Norway,NOR,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Double Sculls,NA
55149,Karl Axel Johansson,M,26,NA,NA,Gteborgs Roddfrening-2,SWE,1912 Summer,1912,Summer,Stockholm,Rowing,"Rowing Men's Coxed Fours, Inriggers",NA
55174,Erik Fritjof Johansson,M,24,NA,NA,Sweden,SWE,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Fours,NA
55186,Gran Wilhelm Johansson,M,23,179,79,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxless Fours,NA
55215,Karl-Erik Johansson,M,28,NA,NA,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Fours,NA
55277,Tore Sune Torvald Johansson,M,31,NA,NA,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Double Sculls,NA
55358,David Leslie Johnson,M,24,191,90,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxless Fours,NA
55358,David Leslie Johnson,M,28,191,90,Canada,CAN,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxless Pairs,NA
55367,William Edgar Johnson,M,26,NA,NA,United States,USA,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxless Fours,NA
55404,"Katherine ""Kate"" Johnson",F,25,177,74,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Silver
55446,Ridgely Couper Johnson,M,26,205,102,United States,USA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Quadruple Sculls,NA
55468,Anders Olof Tage Johnson,M,34,NA,NA,Gteborgs Roddfrening-2,SWE,1912 Summer,1912,Summer,Stockholm,Rowing,"Rowing Men's Coxed Fours, Inriggers",NA
55470,"George Edward ""Ted"" Johnson",M,28,NA,NA,New Zealand,NZL,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Fours,NA
55472,"Philip Anthony ""Tony"" Johnson",M,23,191,86,United States,USA,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxless Pairs,NA
55472,"Philip Anthony ""Tony"" Johnson",M,27,191,86,United States,USA,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxless Pairs,Silver
55507,"Donald Hendrik ""Don"" Johnston",M,20,188,84,United States,USA,1920 Summer,1920,Summer,Antwerpen,Rowing,Rowing Men's Coxed Eights,Gold
55509,Fiona Johnston,F,22,181,75,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Women's Coxed Fours,NA
55512,"Peter Gregory ""Greg"" Johnston",M,25,195,91,New Zealand,NZL,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,NA
55512,"Peter Gregory ""Greg"" Johnston",M,29,195,91,New Zealand,NZL,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,NA
55512,"Peter Gregory ""Greg"" Johnston",M,29,195,91,New Zealand,NZL,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Fours,Bronze
55514,Ian David Johnston,M,13,176,80,Australia,AUS,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Pairs,NA
55531,Banner Carruthers Johnstone,M,25,NA,81,Leander Club-1,GBR,1908 Summer,1908,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
